1688990549216,98203
1688990550016,100082
1688990549416,112374
1688990549616,130015
1688990549816,116439
1688990550216,111563
1688990550645,110225
1688990550845,96401
1688990551045,68009
1688990551245,64724
1688990551445,95817
1688990551645,85490
1688990553995,114145
1688990554195,104561
1688990554395,118067
1688990554595,108803
1688990554795,126192
1688990554995,108152
1688990555195,90865
1688990558638,97719
1688990558838,116830
1688990559238,108771
1688990559038,110830
1688990559438,112572
1688990559638,107605
1688990559838,100695
1688990560238,88655
1688990561038,76846
1688990560438,90448
1688990560038,90389
1688990560638,91113
1688990560838,95268
1688990562491,11767
1688990562691,67945
1688990562891,68468
1688990563091,61496
1688990563491,59648
1688990563691,63427
1688990563891,55277
1688990563291,64982
1688990564091,92870
1688990564291,97648
1688990564491,112206
1688990565291,76672
1688990565091,71227
1688990564891,84795
1688990564691,115392
1688990565491,71510
1688990565959,77578
1688990566159,75926
1688990566559,68309
1688990566359,75137
1688990566759,89278
1688990566959,68526
1688990567159,77999
1688990567359,76920
1688990567559,66296
1688990567759,76846
1688990567959,69304
1688990568359,74402
1688990568559,64789
1688990568159,71605
1688990568759,89365
1688990568959,103658
1688990570331,60564
1688990570531,98437
1688990570731,94184
1688990570931,108015
1688990571531,115917
1688990571131,110688
1688990571731,103187
1688990571331,93866
1688990571931,101231
1688990572131,100351
1688990574490,44958
1688990574690,74392
1688990574890,58886
1688990575090,56530
1688990575690,58689
1688990575490,53727
1688990575290,65419
1688990576090,57008
1688990576490,59596
1688990576290,52298
1688990576890,62394
1688990575890,67940
1688990576690,55820
1688990577090,50078
1688990577690,49268
1688990577290,53631
1688990577490,48241
1688990577890,71840
1688990578290,64959
1688990578090,72245
1688990578490,71278
1688990578912,77593
1688990579112,57856
1688990579312,72331
1688990579512,87099
1688990579712,82099
1688990580112,63791
1688990580512,73884
1688990579912,73049
1688990580312,59589
1688990580712,67789
1688990582507,36691
1688990582707,51914
1688990582907,51627
1688990583107,46937
1688990583307,38683
1688990583707,44624
1688990583907,47084
1688990583507,41334
1688990584107,43117
1688990584307,38489
1688990584707,43137
1688990585107,87262
1688990584907,87328
1688990584507,36877
1688990585307,84453
1688990586240,23820
1688990586440,103761
1688990586640,100710
1688990587040,135634
1688990586840,129990
1688990587240,145152
1688990590137,110486
1688990590337,131987
1688990590737,156326
1688990590537,176903
1688990594803,99070
1688990595003,155073
1688990595203,139971
1688990595403,152947
1688990595603,158893
1688990596003,73074
1688990596203,87363
1688990596403,79431
1688990595803,138837
1688990596603,71125
1688990596803,97936
1688990598555,65594
1688990598755,67325
1688990598955,69509
1688990599155,67179
1688990599355,64750
1688990599555,66344
1688990599755,75855
1688990600155,86954
